,glottolog_index,glottocode,language_name,iso_code,language_or_dialect,macroarea,latitude,longitude,dictionary_exists,language_family,bible_exists,cc_gb,archival_gb,datasets_n,wiki_articles_n,opus_gb,lowercase_name,xeus_gb,wikitongues_gb,models_n,models_mean_downloads,models_earliest_date,wiki_active_users,institutional_status,endangerment_status,primary_country,admin_1_code,country_iso_code,other_country_iso_codes,contested_area,n_speakers,geometry,closest_university,second_closest_university,distance_to_closest_university_km,distance_to_second_closest_university_km,admin_1_hdi,admin_1_gdp,cybersecurity_law_exists,households_with_phones_pct,households_with_home_internet_pct,individuals_using_internet_pct,avg_download_speed_kbps,avg_upload_speed_kbps,avg_latency_ms,pct_stem_grads,literacy_rate,admin_1_education_level,rnd_gdp_pct,AI_resource_readiness,infrastructural_readiness,socioeconomic_readiness,Overall_Readiness_Score,grouped_full_index,grouped_AI_resource_index,grouped_socioeconomic_index,grouped_infrastructural_index
1258,5792,rade1240,Rade,rad,language,Eurasia,12.979,108.41,1,Austronesian [aust1307],1,0.0,0.0,4,0,0,rade,0.0,0.0,2,0.0,0,0,0,Potentially vulnerable,Vietnam,VNMr104,VNM,VNM,0,180000,POINT (108.41 12.979),Mientrung University of Civil Engineering,Dalat University,0.0008924696695,0.001025010473,0.662,4188.97168,1,83.82,87.7,78.58999918,150655.0,122199.0,11.0,22.67548,96.0,0.581,0.425330013,2.438288098462732e-06,0.5855487276216851,0.0133217943030247,0.0020020036183243,9,9,7,3
1259,1385,guam1248,Guambiano,gum,language,South America,2.55849,-76.582,1,Barbacoan [barb1265],1,0.0,0.0,11,0,0,guambiano,0.0,0.0,2,0.0,0,0,0,Endangered/unsafe,Colombia,COLr108,COL,COL,0,21000,POINT (-76.582 2.55849),Universidad Autónoma Indígena Intercultural,Corporacion Universitaria Comfacauca,6.76e-05,0.0001183950259,0.705,8947.21582,1,75.8153,59.4656,72.79637855,217088.0,94253.0,14.0,23.12693,96.0,0.623,0.2896099985,2.438288098462732e-06,0.5616266250194241,0.0132451425033383,0.0019705662672478,9,9,7,4
1260,2,haza1239,Hazaragi,haz,language,Eurasia,33.3708,64.5105,1,Indo-European [indo1319],0,0.0,0.0,4,0,4,hazaragi,2.852266667,0.0,1,0.0,0,0,0,Potentially vulnerable,Afghanistan,AFGr108,AFG,AFG,0,2200000,POINT (64.5105 33.3708),Helmand University,Bost University,0.001796196065,0.001799650048,0.447,1820.304321,0,49.79559999999999,8.43811,17.6,4204.0,5029.0,261.0,11.24512004852295,37.0,0.341,0.148,1.344733074876895e-05,0.108898129680728,0.005224680910554,0.0013237405030194,9,9,8,9
1261,851,xish1235,Xishanba Lalo,ywt,language,Eurasia,24.8709,100.711,1,Sino-Tibetan [sino1245],0,0.0,0.0,0,0,0,xishanba lalo,0.0,0.0,0,0.0,0,0,0,Potentially vulnerable,China,CHNr125,CHN,CHN,0,213000,POINT (100.711 24.8709),Dali University,Baoshan University,0.0009746188586392,0.0015699234054692,0.697,6537.248046875,1,81.4894,80.9409,75.6113160262086,230841.0,27389.0,92.0,0.0,97.0,0.63,2.4326000213623,1.0000000000000004e-06,0.6145066525502202,0.007211431445517,0.0011145808892914,9,9,8,3
1262,3269,chew1245,Chewong,cwg,language,Eurasia,3.83331,102.081,1,Austroasiatic [aust1305],0,0.0,0.0,0,0,0,chewong,0.0,0.0,0,0.0,0,0,0,Severely endangered,Malaysia,MYSr106,MYS,MYS,0,460,POINT (102.081 3.83331),Universiti Pendidikan Sultan Idris,Universiti Islam Antarabangsa Malaysia,0.0005763188563,0.0007233900429,0.796,23150.375,1,98.3696,96.417,97.3986404,160545.0,75927.0,11.0,40.7733,96.0,0.697,0.9508799911,1.0000000000000004e-06,0.6926442984820125,0.0072581630507523,0.0011624507558674,9,9,8,2
1263,3303,kuij1237,Kuijau,dkr,language,Papunesia,5.47179,116.108,1,Austronesian [aust1307],0,0.0,0.0,0,0,0,kuijau,0.0,0.0,0,0.0,0,0,0,Definitely endangered,Malaysia,MYSr112,MYS,MYS,0,7910,POINT (116.108 5.47179),Universiti Malaysia Sabah,Politeknik Brunei,0.0005743796856,0.001304627825,0.702,14180.31348,1,98.3696,96.417,97.3986404,137059.0,74161.0,15.0,40.7733,96.0,0.567,0.9508799911,1.0000000000000004e-06,0.6717844885499202,0.0074041519824464,0.0011583256366368,9,9,8,2
1264,3257,kaja1250,Kajaman,kag,language,Papunesia,2.78613,113.886,1,Austronesian [aust1307],0,0.0,0.0,0,0,0,kajaman,0.0,0.0,0,0.0,0,0,0,Definitely endangered,Malaysia,MYSr113,MYS,MYS,0,500,POINT (113.886 2.78613),Universiti Islam Sultan Sharif Ali,Politeknik Brunei,0.002354988607,0.002363245708,0.737,14180.31348,1,98.3696,96.417,97.3986404,228938.0,99043.0,8.0,40.7733,96.0,0.614,0.9508799911,1.0000000000000004e-06,0.7417566239563743,0.0069728740953654,0.0011735096229054,9,9,8,1
1265,312,kuuk1238,Kuuku-Ya'u,kuy,language,Australia,-12.4947,143.165,1,Pama-Nyungan [pama1250],0,0.0,0.0,3,0,0,kuuku-ya'u,0.0,0.0,1,0.0,0,0,0,Severely endangered,Australia,AUSr103,AUS,AUS,0,9,POINT (143.165 -12.4947),University of Papua New Guinea,Pacific Adventist University,0.005055220109,0.005141762094,0.944,41233.03125,1,97.2977,97.3247,94.87618804,301628.0,27109.0,8.0,17.39795,100.0,0.917,1.828920007,1.8676876681688049e-06,0.7724601193249596,0.0113314940114699,0.0017222045548953,9,9,8,1
1266,298,umpi1239,Umpila,ump,language,Australia,-13.1528,143.467,1,Pama-Nyungan [pama1250],0,0.0,0.0,0,0,0,umpila,0.0,0.0,0,0.0,0,0,0,Critically endangered,Australia,AUSr103,AUS,AUS,0,9,POINT (143.467 -13.1528),University of Papua New Guinea,Pacific Adventist University,0.005265152801,0.005342757946,0.944,41233.03125,1,97.2977,97.3247,94.87618804,301628.0,27109.0,8.0,17.39795,100.0,0.917,1.828920007,1.0000000000000004e-06,0.7724601193249596,0.0067277299192775,0.00117537678351,9,9,8,1
1267,242,gugu1254,Gugubera,kkp,language,Australia,-15.4296,141.635,1,Pama-Nyungan [pama1250],0,0.0,0.0,0,0,0,gugubera,0.0,0.0,0,0.0,0,0,0,Severely endangered,Australia,AUSr103,AUS,AUS,0,9,POINT (141.635 -15.4296),James Cook University,University of Papua New Guinea,0.006436532577,0.008177651907,0.944,41233.03125,1,97.2977,97.3247,94.87618804,301628.0,27109.0,8.0,17.39795,100.0,0.917,1.828920007,1.0000000000000004e-06,0.7724601193249596,0.0067277299192775,0.00117537678351,9,9,8,1
1268,284,wikn1245,Wik-Ngathana,wig,language,Australia,-13.8691,141.532,1,Pama-Nyungan [pama1250],0,0.0,0.0,0,0,0,wik-ngathana,0.0,0.0,0,0.0,0,0,0,Definitely endangered,Australia,AUSr103,AUS,AUS,0,9,POINT (141.532 -13.8691),University of Papua New Guinea,Pacific Adventist University,0.007188224096,0.00727386803,0.944,41233.03125,1,97.2977,97.3247,94.87618804,301628.0,27109.0,8.0,17.39795,100.0,0.917,1.828920007,1.0000000000000004e-06,0.7724601193249596,0.0067277299192775,0.00117537678351,9,9,8,1
1269,275,wikm1246,Wik-Me'anha,wih,language,Australia,-14.058,141.925,1,Pama-Nyungan [pama1250],0,0.0,0.0,0,0,0,wik-me'anha,0.0,0.0,0,0.0,0,0,0,Severely endangered,Australia,AUSr103,AUS,AUS,0,9,POINT (141.925 -14.058),University of Papua New Guinea,Pacific Adventist University,0.007008178129,0.007090219866,0.944,41233.03125,1,97.2977,97.3247,94.87618804,301628.0,27109.0,8.0,17.39795,100.0,0.917,1.828920007,1.0000000000000004e-06,0.7724601193249596,0.0067277299192775,0.00117537678351,9,9,8,1
1270,215,dyir1250,Dyirbal,dbl,language,Australia,-17.4516,145.544,1,Pama-Nyungan [pama1250],0,0.0,0.0,0,0,0,dyirbal,0.0,0.0,0,0.0,0,0,0,Severely endangered,Australia,AUSr103,AUS,AUS,0,9,POINT (145.544 -17.4516),James Cook University,University of Papua New Guinea,0.002233894315,0.008204899423,0.944,41233.03125,1,97.2977,97.3247,94.87618804,301628.0,27109.0,8.0,17.39795,100.0,0.917,1.828920007,1.0000000000000004e-06,0.7724601193249596,0.0067277299192775,0.00117537678351,9,9,8,1
1271,947,chin1476,China Buriat,bxu,language,Eurasia,48.7593,117.786,1,Mongolic-Khitan [mong1349],0,0.0,0.0,0,0,0,china buriat,0.0,0.0,0,0.0,0,0,0,Endangered/unsafe,China,CHNr105,CHN,CHN,0,99999,POINT (117.786 48.7593),Hulunbeier University,Dornod University,0.0020385055883122,0.0033271088281011,0.777,12851.509765625,1,81.4894,80.9409,75.6113160262086,147368.0,14852.0,34.0,0.0,97.0,0.709,2.4326000213623,1.0000000000000004e-06,0.5635164035540906,0.0075712185915088,0.0011005751066007,9,9,8,4
1272,3919,urar1246,Urarina,ura,language,South America,-4.44006,-75.4211,1,Isolate,1,0.0,0.0,11,0,0,urarina,0.589191837,0.0,2,0.0,0,0,0,Definitely endangered,Peru,PERr102,PER,PER,0,3000,POINT (-75.4211 -4.44006),Universidad Nacional Autónoma de Alto Amazonas,Universidad Peruana del Oriente,0.001611946648,0.002239042529,0.702,10471.91113,1,84.937,55.2084,74.67495213,271740.0,235983.0,21.0,29.64282,94.0,0.656,0.164350003,2.438288098462732e-06,0.6212398555726417,0.0126012460055714,0.0020043821956951,9,9,7,3
1273,3061,esta1236,Estado de México Otomi,ots,language,North America,19.8781,-99.61,1,Otomanguean [otom1299],1,0.0,0.0,10,0,0,estado de méxico otomi,0.0,0.0,2,0.0,0,0,0,Definitely endangered,Mexico,MEXr115,MEX,MEX,0,20000,POINT (-99.61 19.8781),Universidad Tecnológica de Tula-Tepeji,Universidad Tecnológica Fidel Velázquez,0.0002958751465,0.0003787482896,0.763,10837.68359,0,78.3331,71.6535,78.63217894,171022.0,87321.0,8.0,25.23914,95.0,0.751,0.2685500085,2.438288098462732e-06,0.5691885846710156,0.0136658583238412,0.0019801092965655,9,9,7,4
1274,716,tusc1257,Tuscarora,tus,language,North America,43.1303,-79.4214,1,Iroquoian [iroq1247],0,0.0,0.0,3,0,0,tuscarora,0.956792744,0.0,1,0.0,0,0,0,Critically endangered,Canada,CANr106,CAN,CAN,0,9,POINT (-79.4214 43.1303),Brock University,Niagara University,0.000178148231,0.0003837447793,0.943,44558.63672,1,94.0925,95.2996,94.0,334500.0,134159.0,14.0,22.37562,100.0,0.919,1.55182004,1.8676876681688049e-06,0.7717158419531082,0.0112754003673577,0.001718805689135,9,9,8,1
1275,1692,kota1274,Kota (Gabon),koq,language,Africa,1.016,13.97,1,Atlantic-Congo [atla1278],1,0.0,0.0,0,0,0,kota (gabon),0.0,0.0,0,0.0,0,0,0,Endangered/unsafe,Gabon,GABr106,GAB,GAB,0,34000,POINT (13.97 1.016),École des Mines et de la Métallurgie de Moanda,Université des Sciences et Techniques de Masuku,0.002654483089,0.002680640568,0.598,18831.90039,1,83.6179,76.0128,73.69509423,71164.0,15063.0,20.0,31.0328197479248,85.69000244,0.568,0.5792400241,1.0000000000000004e-06,0.4887540755870575,0.0069142385886328,0.0011254844901844,9,9,8,4
1276,817,caol1238,Cao Lan,mlc,language,Eurasia,23.2541,105.521,1,Tai-Kadai [taik1256],0,0.0,0.0,0,0,0,cao lan,0.0,0.0,0,0.0,0,0,0,Potentially vulnerable,China,CHNr125,CHN,CHN,0,170000,POINT (105.521 23.2541),Baise University,Youjiang Medical University for Nationalities,0.0012584550948623,0.0012663731931275,0.697,6537.248046875,1,81.4894,80.9409,75.6113160262086,230841.0,27389.0,92.0,0.0,97.0,0.63,2.4326000213623,1.0000000000000004e-06,0.6145066525502202,0.0071893825713152,0.0011134437899133,9,9,8,3
1277,1468,cana1262,Cañar-Azuay-South Chimborazo Highland Quichua,qxr,language,South America,-2.48314,-78.9672,1,Quechuan [quec1387],1,0.0,0.0,3,0,0,cañar-azuay-south chimborazo highland quichua,0.0,0.0,40,0.0,0,0,0,Endangered/unsafe,Ecuador,ECUr102,ECU,ECU,0,99999,POINT (-78.9672 -2.48314),Universidad Nacional de Educación,Universidad Politécnica Salesiana,0.0003353619257,0.0004026226813,0.753,9403.032227,1,59.5745,62.2189,72.69431459,214142.0,180247.0,5.0,15.83638,94.0,0.73,0.4426600039,7.717580550145633e-06,0.4953075653871863,0.0363977777741809,0.003886317372117,8,9,6,4
1278,293,rita1239,Ritharrngu,rit,language,Australia,-13.4559,135.259,1,Pama-Nyungan [pama1250],0,0.0,0.0,0,0,0,ritharrngu,0.0,0.0,0,0.0,0,0,0,Definitely endangered,Australia,AUSr107,AUS,AUS,0,32,POINT (135.259 -13.4559),Charles Darwin University,Universitas Timika,0.004520630842,0.009064391874,0.94,52801.40625,1,97.2977,97.3247,94.87618804,136321.0,22083.0,65.0,17.39795,100.0,0.92,1.828920007,1.0000000000000004e-06,0.662631785648881,0.0073580759674835,0.0011506442730887,9,9,8,2
1279,3248,puna1275,Punan Bah-Biau,pna,language,Papunesia,2.27377,113.156,1,Austronesian [aust1307],0,0.0,0.0,0,0,0,punan bah-biau,0.0,0.0,0,0.0,0,0,0,Endangered/unsafe,Malaysia,MYSr113,MYS,MYS,0,450,POINT (113.156 2.27377),Universitas Kapuas Sintang,Universiti Malaysia Sarawak,0.002753095478,0.00291741607,0.737,14180.31348,1,98.3696,96.417,97.3986404,228938.0,99043.0,8.0,40.7733,96.0,0.614,0.9508799911,1.0000000000000004e-06,0.7417566239563743,0.0069532678047931,0.0011724087010167,9,9,8,1
