code      , canonical_code, is_iso3, is_glottocode, Articles, Avggoodpagelength  , adjusted_wp_size       , article_count, avg_article_length , entropy           , ethnologue_population, glotto_mapped_iso, glottocode, jw_bible_available, median_article_length, mention_total, os_base_required       , real_ratio          , realtotalratio      , wals_family          , wals_genus                       , wp_incubator, wp_size_chars
hut       , hut           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , huml1238  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
muru1274  , huu           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , huu              , muru1274  ,                   ,                      ,              ,                        ,                     ,                     , Witotoan             , Witoto                           ,             ,            
sanm1287  , huv           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , huv              , sanm1287  ,                   ,                      ,              ,                        ,                     ,                     , Huavean              , Huavean                          ,             ,            
huw       , huw           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , None                 ,                  , huku1237  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
nupo1240  , hux           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hux              , nupo1240  ,                   ,                      ,              ,                        ,                     ,                     , Witotoan             , Witoto                           ,             ,            
huy       , huy           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , hula1244  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
huz       , huz           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , hunz1247  ,                   ,                      ,              ,                        ,                     ,                     , Nakh-Daghestanian    , Avar-Andic-Tsezic                ,             ,            
huas1255  , hva           , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      , hva              , huas1255  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hvc       , hvc           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , None                 ,                  , hait1241  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
sand1278  , hve           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hve              , sand1278  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hvk       , hvk           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , have1241  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
sabu1255  , hvn           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            , hvn              , sabu1255  ,                   ,                      ,              ,                        ,                     ,                     , Austronesian         , Central Malayo-Polynesian        ,             ,            
sant1422  , hvv           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hvv              , sant1422  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
wane1242  , hwa           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hwa              , wane1242  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hwc       , hwc           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 1M to 1B             ,                  , hawa1247  ,                   ,                      ,              ,                        ,                     ,                     , other                , Creoles and Pidgins              ,             ,            
hwo       , hwo           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , 10K to 1M            ,                  , hwan1240  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
hyaa1239  , hya           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , hya              , hyaa1239  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
nucl1235  , hye           , True   , True         ,   721802, 2186.000257582579  ,  1561019728.1382027    ,        721802, 2186.000257582579  , 6.164115918362489 , 1M to 1B             , hye              , nucl1235  ,                   ,    43.813672137450396,            22, English (United States), 0.4220700413686856  , 0.4220700413686856  , Indo-European        , Armenian                         ,            1,  1561019728.1382027
hyw       , hyw           , True   , False        ,    16088, 3418.1438644794407 ,    54766594.28223643   ,         16088, 3418.1438644794407 , 5.998890661106599 , 1M to 1B             ,                  , homs1234  ,                   ,  1824.2272614726585  ,            10,                        , 0.7976131277971159  , 0.7976131277971159  , Indo-European        , Armenian                         ,             ,    54766594.28223643
iai       , iai           , True   , False        ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        ,                  , iaai1238  ,                   ,                      ,              ,                        ,                     ,                     , Austronesian         , Oceanic                          ,             ,            
iatm1242  , ian           , True   , True         ,         ,                    ,                        ,              ,                    ,                   , Less than 10K        , ian              , iatm1242  ,                   ,                      ,              ,                        ,                     ,                     , Sepik                , Ndu                              ,             ,            
iapa1241  , iap           , False  , True         ,         ,                    ,                        ,              ,                    ,                   ,                      , iap              , iapa1241  ,                   ,                      ,              ,                        ,                     ,                     ,                      ,                                  ,             ,            
