code,iso639_3,glottocode,AdjustedWPsize,Articles,WPincubatornew,WPsizeinchars,Realtotalratio,Avggoodpagelength,Population Size,Digital Support,has_glottolog,has_bible,win11_os_supported,tatoeba_sentences,has_wals,Ethnologue_Status,has_wiki
ajz,ajz,amri1238,,,0,,,,5,1,1,0,0,,0,1,0
aka,aka,akan1250,,,0,,,,7,3,1,0,0,,1,3,0
akb,akb,bata1290,,,0,,,,5,1,1,0,0,,0,1,0
akc,akc,mpur1239,,,0,,,,3,1,1,0,0,,1,1,0
akd,akd,ukpe1249,,,0,,,,5,0,1,0,0,,0,1,0
ake,ake,akaw1239,,,0,,,,3,2,1,0,0,,1,2,0
akf,akf,akpa1238,,,1,,,,5,1,1,0,0,,0,2,0
akg,akg,anak1240,,,1,,,,5,0,1,0,0,,0,2,0
akh,akh,anga1292,,,0,,,,5,1,1,0,0,,0,2,0
aki,aki,aiom1240,,,0,,,,3,0,1,0,0,,0,2,0
akj,akj,akaj1239,,,0,,,,0,1,1,0,0,,0,1,0
akk,akk,akka1240,,,,,,,,,1,0,0,,0,,0
akl,akl,akla1240,,,1,,,,5,2,1,0,0,1.4471580313422192,1,3,0
akm,akm,akab1248,,,0,,,,0,0,1,0,0,,0,0,0
akn,akn,amik1238,,,,,,,,,1,0,0,,0,,0
ako,ako,akur1238,,,0,,,,0,1,1,0,0,,0,1,0
akp,akp,siwu1238,,,0,,,,5,1,1,0,0,,0,2,0
akq,akq,akkk1240,,,0,,,,0,0,1,0,0,,0,1,0
akr,akr,arak1252,,,1,,,,3,1,1,0,0,,1,1,0
aks,aks,akas1242,,,0,,,,5,0,1,0,0,,0,2,0
akt,akt,akol1237,,,0,,,,3,0,1,0,0,,0,2,0
aku,aku,akum1238,,,0,,,,3,1,1,0,0,,0,2,0
akv,akv,akhv1239,,,0,,,,3,1,1,0,0,,1,1,0
akw,akw,akwa1248,,,0,,,,5,1,1,0,0,,1,1,0
akx,akx,akak1252,,,0,,,,0,0,1,0,0,,1,0,0
aky,aky,akak1253,,,0,,,,0,0,1,0,0,,0,0,0
akz,akz,alab1237,,,1,,,,3,1,1,0,0,,1,1,0
ala,ala,alag1242,,,0,,,,5,1,1,0,0,,0,2,0
alc,alc,qawa1238,,,0,,,,0,1,1,0,0,,1,1,0
ald,ald,alla1248,,,0,,,,5,1,1,0,0,,1,2,0
ale,ale,aleu1260,,,1,,,,3,2,1,0,0,,1,1,0
alf,alf,aleg1238,,,0,,,,5,1,1,0,0,,0,2,0
alh,alh,alaw1244,,,0,,,,0,0,1,0,0,,1,1,0
ali,ali,amai1246,,,0,,,,3,2,1,0,0,,0,2,0
alj,alj,alan1249,,,0,,,,5,1,1,0,0,,0,1,0
alk,alk,alak1253,,,0,,,,5,0,1,0,0,,0,2,0
all,all,alla1247,,,0,,,,3,0,1,0,0,,0,1,0
alm,alm,ambl1237,,,0,,,,0,0,1,0,0,,0,0,0
aln,aln,gheg1238,,,1,,,,7,2,1,0,0,1.4471580313422192,0,3,0
alo,alo,lari1255,,,0,,,,3,0,1,0,0,,1,1,0
alp,alp,alun1238,,,0,,,,5,2,1,0,0,,1,1,0
alq,alq,algo1255,,,0,,,,3,2,1,0,0,,1,1,0
alr,alr,alut1245,,,0,,,,3,1,1,0,0,,1,1,0
als,als,tosk1239,8.214247,4.574876,0,8.214247,0.8129507891304927,3.640557,7,3,1,0,0,,0,3,1
alt,alt,sout2694,6.88337,3.122216,0,6.88337,0.7984905660377358,3.76225,5,2,1,1,0,3.193958978019187,1,3,1
alu,alu,area1240,,,0,,,,5,1,1,0,0,,1,2,0
