	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
gdt	h	h	h	h	s	h	h	h	h	s	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gdu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gdx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gea	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
geb	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gec	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ged	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gef	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
geg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
geh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gei	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gej	s	v	s	s	v	s	v	s	s	s	s	s	h	s	v	v	v	v	h	s	borderline	-	borderline	-
gek	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gel	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gen	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
geq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ges	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gev	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gew	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gex	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gey	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gez	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	h	dead	h
gfk	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gft	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gga	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ggb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ggd	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gge	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
ggg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ggh	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ggk	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ggl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ggm	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ggr	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
ggt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ggu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ggw	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gha	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghe	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gho	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ghs	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
ght	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gia	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gib	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
gic	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gid	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gie	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gig	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gih	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
gii	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gil	v	v	v	s	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	borderline	-	living	v
gim	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gin	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gio	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gip	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
giq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gir	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gis	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
git	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
giu	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
giw	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gix	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
giy	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
giz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gjk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gjm	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gjn	s	v	s	s	v	s	v	s	s	s	s	s	h	s	v	v	v	v	h	s	borderline	-	borderline	-
gjr	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gju	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
gka	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gkd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gke	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
gkn	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
gko	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gkp	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gku	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gla	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
glb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
glc	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gld	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
gle	v	v	v	v	v	v	tg	v	v	v	v	tg	v	v	v	tg	v	v	v	v	living	-	living	v
glg	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	tg	living	-	living	v
glh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gli	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
glj	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
glk	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
gll	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
glo	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
glr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
glu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
glv	v	h	v	v	h	v	h	v	h	h	h	h	h	h	h	h	h	h	v	v	borderline	-	borderline	-
glw	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gly	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gma	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gmb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gmd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gmg	h	s	s	h	s	s	s	h	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gmh	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gml	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gmm	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
gmn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gmo	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gmr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gmu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gmv	s	v	v	s	s	s	v	s	tg	s	v	v	tg	s	s	v	v	v	v	s	borderline	-	borderline	-
gmx	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gmy	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gmz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gna	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gnb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnc	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gnd	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gne	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gng	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gnh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gni	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gnj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnl	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gnm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnn	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gno	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
gnq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnr	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
gnt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gnw	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gnz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
goa	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gob	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
goc	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
god	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
goe	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gof	s	v	s	s	v	s	v	s	s	s	s	s	h	s	v	v	v	v	h	s	borderline	-	borderline	-
gog	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
goh	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
goi	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
goj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gok	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gol	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gom	v	s	v	v	v	s	s	h	h	v	s	h	s	v	s	s	s	s	v	s	borderline	-	dead	s
gon	h	h	h	h	s	h	h	s	s	s	h	v	h	s	h	h	s	h	h	h	borderline	-	dead	h
goo	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gop	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
goq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gor	v	h	v	v	h	v	h	s	h	h	h	s	h	h	s	s	h	s	v	v	borderline	-	borderline	-
gos	h	s	s	s	s	s	s	h	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
got	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	h	dead	h
gou	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gov	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gow	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gox	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
goy	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
goz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gpa	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gpe	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	living	v	living	v
gpn	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
gqa	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gqi	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gqn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gqr	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gqu	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gra	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grb	s	h	h	h	s	h	h	s	v	s	h	v	v	s	v	h	v	h	h	h	borderline	-	dead	h
grc	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	h	dead	h
grd	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grg	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
grh	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gri	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grj	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
grm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grn	h	h	h	h	h	h	h	h	h	h	h	v	h	h	h	h	v	h	v	v	borderline	-	dead	h
gro	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grq	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grr	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
grs	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grt	s	v	v	s	s	s	v	s	tg	s	v	v	tg	s	s	v	v	v	v	v	borderline	-	borderline	-
gru	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
grv	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grw	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
grx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gry	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
grz	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gsc	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gse	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsg	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gsl	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gsn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gso	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gsp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gss	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gsw	v	s	s	v	s	s	s	v	v	v	s	v	v	v	s	s	s	s	v	s	borderline	-	dead	s
gta	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
gti	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gtu	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gua	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gub	s	s	s	s	s	s	s	s	s	s	s	v	s	s	s	s	s	s	s	s	borderline	-	dead	s
guc	v	v	v	v	h	s	v	v	h	v	v	h	s	v	s	s	v	s	v	v	borderline	-	borderline	-
gud	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gue	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
guf	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gug	s	v	v	v	v	s	v	v	v	v	v	v	v	s	v	v	v	v	v	s	borderline	-	borderline	-
guh	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gui	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
guj	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	v	tg	living	-	living	v
guk	s	v	v	s	v	s	v	s	v	s	v	v	h	s	v	v	v	v	v	s	borderline	-	borderline	-
gul	s	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	s
gum	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
gun	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
guo	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gup	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
guq	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gur	v	s	v	v	v	s	v	v	h	v	v	h	s	v	s	s	v	s	v	v	borderline	-	dead	s
gus	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gut	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
guu	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
guv	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
guw	v	s	v	v	v	s	v	v	v	v	v	h	s	v	s	s	v	s	v	v	borderline	-	dead	s
gux	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
guz	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
gva	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
gvc	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gve	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gvf	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gvj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gvl	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gvm	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gvn	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	-
gvo	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gvp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gvr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gvs	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
gvy	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gwa	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwc	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
gwd	s	v	s	s	s	s	v	s	tg	s	tg	v	tg	s	s	v	v	s	v	s	borderline	-	borderline	-
gwe	s	h	s	s	s	s	s	s	s	s	s	s	s	h	h	s	s	s	s	s	dead	-	dead	-
gwf	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwi	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
gwj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwm	h	h	h	h	s	h	h	h	h	s	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gwn	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwr	s	v	s	s	v	s	v	s	s	s	s	s	h	s	v	v	v	v	h	s	borderline	-	borderline	-
gwt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gwu	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
gww	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
gwx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
gxx	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
