	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20	status	stable	status_best	stable_best
pkg	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pkh	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pkn	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
pko	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	v	s	borderline	-	dead	s
pkp	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pkr	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pks	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pkt	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pku	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pla	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
plb	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
plc	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pld	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
ple	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
plg	s	h	s	s	s	s	h	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	-
plh	s	h	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	h	s	dead	-	dead	-
pli	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	h	dead	h	dead	h
plk	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pll	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
pln	s	s	s	s	s	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	dead	-	dead	s
plo	s	h	s	s	s	s	h	s	s	s	s	h	s	h	h	s	s	s	h	s	dead	-	dead	-
plp	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
plq	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
plr	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pls	s	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	s	s	dead	-	dead	s
plt	s	v	v	v	v	s	v	v	v	v	v	v	v	s	v	v	v	v	v	s	borderline	-	borderline	-
plu	h	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
plv	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
plw	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
ply	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
plz	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pma	h	s	s	s	s	s	s	s	h	s	s	h	s	s	s	s	s	s	v	s	borderline	-	dead	s
pmb	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
pmc	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
pmd	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
pme	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pmf	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pmh	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
pmi	s	s	s	s	s	s	s	s	h	s	s	s	s	s	s	s	s	s	s	s	dead	-	dead	s
pmj	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	dead	s	dead	s
pml	h	h	h	h	h	h	h	h	h	h	h	h	h	s	h	h	h	h	h	h	dead	-	dead	h
